number,status,score,level,primary_category,tags,prize,formalized,oeis,problem_file,url
1,open,23,low_candidate,number theory,number theory; additive combinatorics,$500,yes,A276661,problems/number-theory/problem_1.md,https://www.erdosproblems.com/1
3,open,22,low_candidate,number theory,number theory; additive combinatorics; arithmetic progressions,$5000,yes,A003002; A003003; A003004; A003005,problems/number-theory/problem_3.md,https://www.erdosproblems.com/3
5,open,30,low_candidate,number theory,number theory; primes,no,no,A001223,problems/number-theory/problem_5.md,https://www.erdosproblems.com/5
7,verifiable,72,high_candidate,number theory,number theory; covering systems,no,yes,N/A,problems/number-theory/problem_7.md,https://www.erdosproblems.com/7
9,open,31,low_candidate,number theory,number theory; additive basis; primes,no,yes,A006286,problems/number-theory/problem_9.md,https://www.erdosproblems.com/9
10,open,36,low_candidate,number theory,number theory; additive basis; primes,no,yes,A387053,problems/number-theory/problem_10.md,https://www.erdosproblems.com/10
11,open,36,low_candidate,number theory,number theory; additive basis,no,yes,A001220; A377587,problems/number-theory/problem_11.md,https://www.erdosproblems.com/11
12,open,26,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_12.md,https://www.erdosproblems.com/12
14,open,26,low_candidate,number theory,number theory; sidon sets; additive combinatorics,no,yes,A143824; possible,problems/number-theory/problem_14.md,https://www.erdosproblems.com/14
15,open,29,low_candidate,number theory,number theory; primes,no,yes,N/A,problems/number-theory/problem_15.md,https://www.erdosproblems.com/15
17,open,27,low_candidate,number theory,number theory; primes,no,yes,A038133,problems/number-theory/problem_17.md,https://www.erdosproblems.com/17
18,open,27,low_candidate,number theory,number theory; divisors; factorials,no,yes,A005153,problems/number-theory/problem_18.md,https://www.erdosproblems.com/18
19,decidable,67,medium_candidate,graph theory,graph theory; chromatic number,$500,no,N/A,problems/graph-theory/problem_19.md,https://www.erdosproblems.com/19
20,open,32,low_candidate,combinatorics,combinatorics,$1000,yes,A332077,problems/combinatorics/problem_20.md,https://www.erdosproblems.com/20
23,falsifiable,71,high_candidate,graph theory,graph theory,no,yes,A389646,problems/graph-theory/problem_23.md,https://www.erdosproblems.com/23
25,open,29,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_25.md,https://www.erdosproblems.com/25
28,open,29,low_candidate,number theory,number theory; additive basis,$500,yes,N/A,problems/number-theory/problem_28.md,https://www.erdosproblems.com/28
30,open,19,low_candidate,number theory,number theory; sidon sets; additive combinatorics,$1000,yes,A143824; A227590; A003022,problems/number-theory/problem_30.md,https://www.erdosproblems.com/30
32,open,23,low_candidate,number theory,number theory; additive basis,no,yes,N/A,problems/number-theory/problem_32.md,https://www.erdosproblems.com/32
33,open,35,low_candidate,number theory,number theory; additive basis,no,yes,N/A,problems/number-theory/problem_33.md,https://www.erdosproblems.com/33
36,open,32,low_candidate,number theory,number theory; additive combinatorics,no,yes,A393584; possible,problems/number-theory/problem_36.md,https://www.erdosproblems.com/36
39,open,14,low_candidate,number theory,number theory; sidon sets; additive combinatorics,$500,yes,N/A,problems/number-theory/problem_39.md,https://www.erdosproblems.com/39
40,open,26,low_candidate,number theory,number theory; additive basis,$500,yes,N/A,problems/number-theory/problem_40.md,https://www.erdosproblems.com/40
41,open,22,low_candidate,number theory,number theory; sidon sets; additive combinatorics,$500,yes,N/A,problems/number-theory/problem_41.md,https://www.erdosproblems.com/41
44,open,26,low_candidate,number theory,number theory; sidon sets; additive combinatorics,no,yes,N/A,problems/number-theory/problem_44.md,https://www.erdosproblems.com/44
50,open,25,low_candidate,number theory,number theory,$250,yes,N/A,problems/number-theory/problem_50.md,https://www.erdosproblems.com/50
51,open,41,low_to_medium_candidate,number theory,number theory,no,yes,A002202; A014197,problems/number-theory/problem_51.md,https://www.erdosproblems.com/51
52,open,26,low_candidate,number theory,number theory; additive combinatorics,$250,yes,A263996,problems/number-theory/problem_52.md,https://www.erdosproblems.com/52
60,open,42,low_to_medium_candidate,graph theory,graph theory; cycles,no,no,A006855,problems/graph-theory/problem_60.md,https://www.erdosproblems.com/60
61,open,47,low_to_medium_candidate,graph theory,graph theory,no,yes,N/A,problems/graph-theory/problem_61.md,https://www.erdosproblems.com/61
62,open,42,low_to_medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_62.md,https://www.erdosproblems.com/62
64,falsifiable,63,medium_candidate,graph theory,graph theory; cycles,$1000,yes,N/A,problems/graph-theory/problem_64.md,https://www.erdosproblems.com/64
65,open,29,low_candidate,graph theory,graph theory; cycles,no,no,N/A,problems/graph-theory/problem_65.md,https://www.erdosproblems.com/65
66,open,24,low_candidate,number theory,number theory; additive basis,$500,yes,N/A,problems/number-theory/problem_66.md,https://www.erdosproblems.com/66
68,open,33,low_candidate,number theory,number theory; irrationality,no,yes,A331373,problems/number-theory/problem_68.md,https://www.erdosproblems.com/68
70,open,35,low_candidate,graph theory,graph theory; ramsey theory; set theory,no,no,N/A,problems/graph-theory/problem_70.md,https://www.erdosproblems.com/70
74,open,56,medium_candidate,graph theory,graph theory; chromatic number; cycles,$500,yes,N/A,problems/graph-theory/problem_74.md,https://www.erdosproblems.com/74
75,open,47,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,yes,N/A,problems/graph-theory/problem_75.md,https://www.erdosproblems.com/75
77,open,43,low_to_medium_candidate,graph theory,graph theory; ramsey theory,$250,no,A059442,problems/graph-theory/problem_77.md,https://www.erdosproblems.com/77
78,open,46,low_to_medium_candidate,graph theory,graph theory; ramsey theory,$100,no,A059442,problems/graph-theory/problem_78.md,https://www.erdosproblems.com/78
80,open,32,low_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_80.md,https://www.erdosproblems.com/80
81,open,34,low_candidate,graph theory,graph theory,no,no,possible,problems/graph-theory/problem_81.md,https://www.erdosproblems.com/81
82,open,40,low_to_medium_candidate,graph theory,graph theory,no,yes,A120414; A390256; A390257; A390919; A392636; A394400; A394462; A394539; A394563; A394564; A394573; A394574; A394930; A394933,problems/graph-theory/problem_82.md,https://www.erdosproblems.com/82
84,open,35,low_candidate,graph theory,graph theory; cycles,no,no,possible,problems/graph-theory/problem_84.md,https://www.erdosproblems.com/84
85,open,43,low_to_medium_candidate,graph theory,graph theory,no,yes,A006672; possible,problems/graph-theory/problem_85.md,https://www.erdosproblems.com/85
86,open,34,low_candidate,graph theory,graph theory,$100,no,A245762,problems/graph-theory/problem_86.md,https://www.erdosproblems.com/86
87,open,44,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,A059442; possible,problems/graph-theory/problem_87.md,https://www.erdosproblems.com/87
89,open,28,low_candidate,geometry,geometry; distances,$500,yes,A186704; A131628,problems/geometry/problem_89.md,https://www.erdosproblems.com/89
90,open,25,low_candidate,geometry,geometry; distances,$500,yes,A186705,problems/geometry/problem_90.md,https://www.erdosproblems.com/90
91,open,30,low_candidate,geometry,geometry; distances,no,yes,A186704; possible,problems/geometry/problem_91.md,https://www.erdosproblems.com/91
92,open,24,low_candidate,geometry,geometry; distances,$500,yes,possible,problems/geometry/problem_92.md,https://www.erdosproblems.com/92
96,open,20,low_candidate,geometry,geometry; distances; convex,no,no,possible,problems/geometry/problem_96.md,https://www.erdosproblems.com/96
97,falsifiable,49,low_to_medium_candidate,geometry,geometry; distances; convex,$100,yes,N/A,problems/geometry/problem_97.md,https://www.erdosproblems.com/97
98,open,24,low_candidate,geometry,geometry; distances,no,no,possible,problems/geometry/problem_98.md,https://www.erdosproblems.com/98
99,open,21,low_candidate,geometry,geometry; distances,$100,yes,N/A,problems/geometry/problem_99.md,https://www.erdosproblems.com/99
100,open,23,low_candidate,geometry,geometry; distances,no,yes,N/A,problems/geometry/problem_100.md,https://www.erdosproblems.com/100
101,open,28,low_candidate,geometry,geometry,$100,yes,A006065; possible,problems/geometry/problem_101.md,https://www.erdosproblems.com/101
102,open,23,low_candidate,geometry,geometry,no,no,N/A,problems/geometry/problem_102.md,https://www.erdosproblems.com/102
103,open,21,low_candidate,geometry,geometry; distances,no,no,possible,problems/geometry/problem_103.md,https://www.erdosproblems.com/103
104,open,23,low_candidate,geometry,geometry,$100,no,A003829,problems/geometry/problem_104.md,https://www.erdosproblems.com/104
106,falsifiable,54,low_to_medium_candidate,geometry,geometry,no,no,N/A,problems/geometry/problem_106.md,https://www.erdosproblems.com/106
107,falsifiable,57,medium_candidate,geometry,geometry; convex,$500,yes,A000051,problems/geometry/problem_107.md,https://www.erdosproblems.com/107
108,open,58,medium_candidate,graph theory,graph theory; chromatic number; cycles,no,yes,possible,problems/graph-theory/problem_108.md,https://www.erdosproblems.com/108
111,open,35,low_candidate,graph theory,graph theory; chromatic number; set theory,no,no,N/A,problems/graph-theory/problem_111.md,https://www.erdosproblems.com/111
112,open,38,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_112.md,https://www.erdosproblems.com/112
114,falsifiable,49,low_to_medium_candidate,polynomials,polynomials; analysis,$250,no,N/A,problems/polynomials/problem_114.md,https://www.erdosproblems.com/114
117,open,30,low_candidate,group theory,group theory,no,no,possible,problems/group-theory/problem_117.md,https://www.erdosproblems.com/117
119,open,28,low_candidate,analysis,analysis; polynomials,$100,yes,N/A,problems/analysis/problem_119.md,https://www.erdosproblems.com/119
120,open,38,low_to_medium_candidate,combinatorics,combinatorics,$100,yes,N/A,problems/combinatorics/problem_120.md,https://www.erdosproblems.com/120
122,open,24,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_122.md,https://www.erdosproblems.com/122
123,open,25,low_candidate,number theory,number theory,$250,yes,N/A,problems/number-theory/problem_123.md,https://www.erdosproblems.com/123
124,open,34,low_candidate,number theory,number theory; base representations,no,yes,N/A,problems/number-theory/problem_124.md,https://www.erdosproblems.com/124
126,open,19,low_candidate,number theory,number theory,$250,yes,possible,problems/number-theory/problem_126.md,https://www.erdosproblems.com/126
128,falsifiable,63,medium_candidate,graph theory,graph theory,$250,yes,N/A,problems/graph-theory/problem_128.md,https://www.erdosproblems.com/128
129,open,43,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_129.md,https://www.erdosproblems.com/129
130,open,47,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,N/A,problems/graph-theory/problem_130.md,https://www.erdosproblems.com/130
131,open,27,low_candidate,number theory,number theory,no,no,A068063,problems/number-theory/problem_131.md,https://www.erdosproblems.com/131
132,open,20,low_candidate,distances,distances,$100,no,N/A,problems/distances/problem_132.md,https://www.erdosproblems.com/132
137,open,26,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_137.md,https://www.erdosproblems.com/137
138,open,29,low_candidate,additive combinatorics,additive combinatorics,$500,yes,A005346,problems/additive-combinatorics/problem_138.md,https://www.erdosproblems.com/138
141,open,27,low_candidate,additive combinatorics,additive combinatorics; primes; arithmetic progressions,no,yes,A006560,problems/additive-combinatorics/problem_141.md,https://www.erdosproblems.com/141
142,open,22,low_candidate,additive combinatorics,additive combinatorics; arithmetic progressions,$10000,yes,A003002; A003003; A003004; A003005,problems/additive-combinatorics/problem_142.md,https://www.erdosproblems.com/142
143,open,25,low_candidate,primitive sets,primitive sets,$500,yes,N/A,problems/primitive-sets/problem_143.md,https://www.erdosproblems.com/143
145,open,36,low_candidate,number theory,number theory,no,yes,A005117,problems/number-theory/problem_145.md,https://www.erdosproblems.com/145
146,open,34,low_candidate,graph theory,graph theory; turan number,$500,no,N/A,problems/graph-theory/problem_146.md,https://www.erdosproblems.com/146
148,open,34,low_candidate,number theory,number theory; unit fractions,no,no,A076393; A006585,problems/number-theory/problem_148.md,https://www.erdosproblems.com/148
149,open,40,low_to_medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_149.md,https://www.erdosproblems.com/149
151,open,37,low_candidate,graph theory,graph theory,no,no,possible,problems/graph-theory/problem_151.md,https://www.erdosproblems.com/151
153,open,35,low_candidate,sidon sets,sidon sets,no,yes,N/A,problems/sidon-sets/problem_153.md,https://www.erdosproblems.com/153
