number,source_status,current_status,status_confidence,actionability,ambiguity_severity,easy_counterexample_status,v2_level,v2_score,v2_confidence,old_model_score,score_delta,human_review_required,canonical_source,recheck_core_disagreement,primary_category,tags,problem_file,review_file,prompt_file
1,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,12,high,32,-20,True,pass1,False,number theory,number theory; additive combinatorics,results/problems/number-theory/problem_1.md,results/reviews/problem_1.json,results/prompts/problem_1.md
3,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,18,-6,True,pass1,False,number theory,number theory; additive combinatorics; arithmetic progressions,results/problems/number-theory/problem_3.md,results/reviews/problem_3.json,results/prompts/problem_3.md
5,open,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,32,-20,True,pass1,False,number theory,number theory; primes,results/problems/number-theory/problem_5.md,results/reviews/problem_5.json,results/prompts/problem_5.md
7,verifiable,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,14,high,42,-28,True,pass1,False,number theory,number theory; covering systems,results/problems/number-theory/problem_7.md,results/reviews/problem_7.json,results/prompts/problem_7.md
9,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,8,high,35,-27,True,pass1,False,number theory,number theory; additive basis; primes,results/problems/number-theory/problem_9.md,results/reviews/problem_9.json,results/prompts/problem_9.md
10,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,8,high,22,-14,True,pass1,False,number theory,number theory; additive basis; primes,results/problems/number-theory/problem_10.md,results/reviews/problem_10.json,results/prompts/problem_10.md
11,open,confirmed_open,high,research_ready,material,none_found_after_targeted_check,low_candidate,14,high,42,-28,True,pass1,False,number theory,number theory; additive basis,results/problems/number-theory/problem_11.md,results/reviews/problem_11.json,results/prompts/problem_11.md
12,open,revised_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,14,medium,62,-48,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_12.md,results/reviews/problem_12.json,results/prompts/problem_12.md
14,open,likely_open,medium,needs_human_clarification,material,counterexample_found,low_candidate,12,medium,42,-30,True,pass1,False,number theory,number theory; sidon sets; additive combinatorics,results/problems/number-theory/problem_14.md,results/reviews/problem_14.json,results/prompts/problem_14.md
15,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,high,42,-30,True,pass1,False,number theory,number theory; primes,results/problems/number-theory/problem_15.md,results/reviews/problem_15.json,results/prompts/problem_15.md
17,open,likely_open,medium,research_ready,minor,not_applicable,low_candidate,8,medium,32,-24,True,pass1,False,number theory,number theory; primes,results/problems/number-theory/problem_17.md,results/reviews/problem_17.json,results/prompts/problem_17.md
18,open,revised_open,medium,research_ready,material,not_applicable,low_to_medium_candidate,28,medium,58,-30,False,pass1,False,number theory,number theory; divisors; factorials,results/problems/number-theory/problem_18.md,results/reviews/problem_18.json,results/prompts/problem_18.md
19,decidable,revised_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,18,medium,64,-46,True,pass1,False,graph theory,graph theory; chromatic number,results/problems/graph-theory/problem_19.md,results/reviews/problem_19.json,results/prompts/problem_19.md
20,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,38,-26,True,pass1,False,combinatorics,combinatorics,results/problems/combinatorics/problem_20.md,results/reviews/problem_20.json,results/prompts/problem_20.md
23,falsifiable,likely_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,25,medium,58,-33,True,pass1,False,graph theory,graph theory,results/problems/graph-theory/problem_23.md,results/reviews/problem_23.json,results/prompts/problem_23.md
25,open,confirmed_open,medium,research_ready,minor,none_found_after_targeted_check,low_to_medium_candidate,24,medium,58,-34,True,pass1,False,number theory,number theory,results/problems/number-theory/problem_25.md,results/reviews/problem_25.json,results/prompts/problem_25.md
28,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,8,high,22,-14,True,pass1,False,number theory,number theory; additive basis,results/problems/number-theory/problem_28.md,results/reviews/problem_28.json,results/prompts/problem_28.md
30,open,confirmed_open,high,research_ready,minor,none_found_after_targeted_check,low_candidate,6,high,38,-32,True,pass1,False,number theory,number theory; sidon sets; additive combinatorics,results/problems/number-theory/problem_30.md,results/reviews/problem_30.json,results/prompts/problem_30.md
32,open,revised_open,medium,research_ready,minor,none_found_after_targeted_check,low_candidate,12,medium,38,-26,True,pass1,False,number theory,number theory; additive basis,results/problems/number-theory/problem_32.md,results/reviews/problem_32.json,results/prompts/problem_32.md
