number,status,score,level,primary_category,tags,prize,formalized,oeis,problem_file,url,model_review_level,model_review_score,model_review_confidence,model_review_file
1,open,23,low_candidate,number theory,number theory; additive combinatorics,$500,yes,A276661,results/problems/number-theory/problem_1.md,https://www.erdosproblems.com/1,low_to_medium_candidate,32,medium,archive/v1/reviews/problem_1.json
3,open,22,low_candidate,number theory,number theory; additive combinatorics; arithmetic progressions,$5000,yes,A003002; A003003; A003004; A003005,results/problems/number-theory/problem_3.md,https://www.erdosproblems.com/3,low_candidate,18,high,archive/v1/reviews/problem_3.json
5,open,30,low_candidate,number theory,number theory; primes,no,no,A001223,results/problems/number-theory/problem_5.md,https://www.erdosproblems.com/5,low_to_medium_candidate,32,high,archive/v1/reviews/problem_5.json
7,verifiable,72,high_candidate,number theory,number theory; covering systems,no,yes,N/A,results/problems/number-theory/problem_7.md,https://www.erdosproblems.com/7,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_7.json
9,open,31,low_candidate,number theory,number theory; additive basis; primes,no,yes,A006286,results/problems/number-theory/problem_9.md,https://www.erdosproblems.com/9,low_to_medium_candidate,35,medium,archive/v1/reviews/problem_9.json
10,open,36,low_candidate,number theory,number theory; additive basis; primes,no,yes,A387053,results/problems/number-theory/problem_10.md,https://www.erdosproblems.com/10,low_candidate,22,medium,archive/v1/reviews/problem_10.json
11,open,36,low_candidate,number theory,number theory; additive basis,no,yes,A001220; A377587,results/problems/number-theory/problem_11.md,https://www.erdosproblems.com/11,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_11.json
12,open,26,low_candidate,number theory,number theory,no,yes,N/A,results/problems/number-theory/problem_12.md,https://www.erdosproblems.com/12,medium_candidate,62,medium,archive/v1/reviews/problem_12.json
14,open,26,low_candidate,number theory,number theory; sidon sets; additive combinatorics,no,yes,A143824; possible,results/problems/number-theory/problem_14.md,https://www.erdosproblems.com/14,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_14.json
15,open,29,low_candidate,number theory,number theory; primes,no,yes,N/A,results/problems/number-theory/problem_15.md,https://www.erdosproblems.com/15,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_15.json
17,open,27,low_candidate,number theory,number theory; primes,no,yes,A038133,results/problems/number-theory/problem_17.md,https://www.erdosproblems.com/17,low_to_medium_candidate,32,medium,archive/v1/reviews/problem_17.json
18,open,27,low_candidate,number theory,number theory; divisors; factorials,no,yes,A005153,results/problems/number-theory/problem_18.md,https://www.erdosproblems.com/18,medium_candidate,58,medium,archive/v1/reviews/problem_18.json
19,decidable,67,medium_candidate,graph theory,graph theory; chromatic number,$500,no,N/A,results/problems/graph-theory/problem_19.md,https://www.erdosproblems.com/19,medium_candidate,64,medium,archive/v1/reviews/problem_19.json
20,open,32,low_candidate,combinatorics,combinatorics,$1000,yes,A332077,results/problems/combinatorics/problem_20.md,https://www.erdosproblems.com/20,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_20.json
23,falsifiable,71,high_candidate,graph theory,graph theory,no,yes,A389646,results/problems/graph-theory/problem_23.md,https://www.erdosproblems.com/23,medium_candidate,58,medium,archive/v1/reviews/problem_23.json
25,open,29,low_candidate,number theory,number theory,no,yes,N/A,results/problems/number-theory/problem_25.md,https://www.erdosproblems.com/25,medium_candidate,58,medium,archive/v1/reviews/problem_25.json
28,open,29,low_candidate,number theory,number theory; additive basis,$500,yes,N/A,results/problems/number-theory/problem_28.md,https://www.erdosproblems.com/28,low_candidate,22,medium,archive/v1/reviews/problem_28.json
30,open,19,low_candidate,number theory,number theory; sidon sets; additive combinatorics,$1000,yes,A143824; A227590; A003022,results/problems/number-theory/problem_30.md,https://www.erdosproblems.com/30,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_30.json
32,open,23,low_candidate,number theory,number theory; additive basis,no,yes,N/A,results/problems/number-theory/problem_32.md,https://www.erdosproblems.com/32,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_32.json
33,open,35,low_candidate,number theory,number theory; additive basis,no,yes,N/A,results/problems/number-theory/problem_33.md,https://www.erdosproblems.com/33,medium_candidate,60,medium,archive/v1/reviews/problem_33.json
36,open,32,low_candidate,number theory,number theory; additive combinatorics,no,yes,A393584; possible,results/problems/number-theory/problem_36.md,https://www.erdosproblems.com/36,high_candidate,82,medium,archive/v1/reviews/problem_36.json
39,open,14,low_candidate,number theory,number theory; sidon sets; additive combinatorics,$500,yes,N/A,results/problems/number-theory/problem_39.md,https://www.erdosproblems.com/39,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_39.json
40,open,26,low_candidate,number theory,number theory; additive basis,$500,yes,N/A,results/problems/number-theory/problem_40.md,https://www.erdosproblems.com/40,low_candidate,22,medium,archive/v1/reviews/problem_40.json
41,open,22,low_candidate,number theory,number theory; sidon sets; additive combinatorics,$500,yes,N/A,results/problems/number-theory/problem_41.md,https://www.erdosproblems.com/41,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_41.json
44,open,26,low_candidate,number theory,number theory; sidon sets; additive combinatorics,no,yes,N/A,results/problems/number-theory/problem_44.md,https://www.erdosproblems.com/44,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_44.json
50,open,25,low_candidate,number theory,number theory,$250,yes,N/A,results/problems/number-theory/problem_50.md,https://www.erdosproblems.com/50,medium_candidate,55,medium,archive/v1/reviews/problem_50.json
51,open,41,low_to_medium_candidate,number theory,number theory,no,yes,A002202; A014197,results/problems/number-theory/problem_51.md,https://www.erdosproblems.com/51,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_51.json
52,open,26,low_candidate,number theory,number theory; additive combinatorics,$250,yes,A263996,results/problems/number-theory/problem_52.md,https://www.erdosproblems.com/52,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_52.json
60,open,42,low_to_medium_candidate,graph theory,graph theory; cycles,no,no,A006855,results/problems/graph-theory/problem_60.md,https://www.erdosproblems.com/60,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_60.json
61,open,47,low_to_medium_candidate,graph theory,graph theory,no,yes,N/A,results/problems/graph-theory/problem_61.md,https://www.erdosproblems.com/61,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_61.json
62,open,42,low_to_medium_candidate,graph theory,graph theory,no,no,N/A,results/problems/graph-theory/problem_62.md,https://www.erdosproblems.com/62,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_62.json
64,falsifiable,63,medium_candidate,graph theory,graph theory; cycles,$1000,yes,N/A,results/problems/graph-theory/problem_64.md,https://www.erdosproblems.com/64,medium_candidate,58,medium,archive/v1/reviews/problem_64.json
65,open,29,low_candidate,graph theory,graph theory; cycles,no,no,N/A,results/problems/graph-theory/problem_65.md,https://www.erdosproblems.com/65,medium_candidate,68,medium,archive/v1/reviews/problem_65.json
66,open,24,low_candidate,number theory,number theory; additive basis,$500,yes,N/A,results/problems/number-theory/problem_66.md,https://www.erdosproblems.com/66,low_to_medium_candidate,42,medium,archive/v1/reviews/problem_66.json
68,open,33,low_candidate,number theory,number theory; irrationality,no,yes,A331373,results/problems/number-theory/problem_68.md,https://www.erdosproblems.com/68,low_to_medium_candidate,38,medium,archive/v1/reviews/problem_68.json
